id,threat_type,origin_lat,origin_lon,bearing_deg,speed_kmh,duration_min,buffer_km,distance_to_base_km
T001,orbital,45.659679,-113.498356,123.16,7173.7,35.9,650,1824.294912386812
T002,alien,34.214228,-119.545383,85.93,1342.1,85.6,450,1936.0431381572532
T003,orbital,42.355015,-105.183764,145.37,5116.6,33.9,650,1105.2242591098714
T004,airborne,18.362153,-100.59637,350.4,784.3,40.3,250,1741.816660299904
T005,kaiju,38.398951,-79.632503,252.0,66.2,297.5,150,1761.5996472397903
T006,alien,54.497998,-85.073486,228.52,1252.9,75.1,450,2516.545040461908
T007,alien,47.059846,-90.689021,204.59,1128.9,30.3,450,1601.889247562777
T008,kaiju,42.88069,-100.078727,175.85,69.0,257.8,150,1006.554878158328
T009,orbital,42.320861,-89.725801,238.2,6893.8,27.1,650,1207.7985660395648
T010,airborne,19.564326,-93.048111,322.49,1152.2,38.6,250,1683.9036130645045
T011,airborne,26.871445,-78.389872,298.89,628.5,49.8,250,2076.49850301311
T012,orbital,16.593606,-82.149505,318.3,2552.5,11.2,650,2524.466000677377
